tourney_id,tourney_name,surface,draw_size,tourney_level
2002-M-FU-GER-10A-2002,Germany F10,Clay,32,S
2017-M-FU-TUR-46A-2017,Turkey F46,Clay,32,S
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,Davis Cup G2 R1: LBN vs TPE,Hard,4,D
1994-M-SA-GER-02A-1994c,Germany 2 Masters 3,Clay,24,S
2018-M-FU-ESP-05A-2018,Spain F5,Clay,32,S
2007-439,Umag,Clay,32,A
2015-M-FU-UKR-03A-2015,Ukraine F3,Clay,32,S
2013-M-FU-ECU-03A-2013,Ecuador F3,Clay,32,S
1990-352,Paris Masters,Carpet,48,M
1994-550,Sofia CH,Clay,32,C
1980-406,Brussels,Clay,32,A
2006-M-FU-GBR-03A-2006,Great Britain F3,Hard,32,S
2001-M-FU-MEX-11A-2001,Mexico F11,Hard,32,S
1974-409,Orlando WCT,Hard,32,A
1981-364,Sofia,Carpet,32,A
2017-M-FU-EGY-30A-2017,Egypt F30,Hard,32,S
2006-M-FU-NED-03A-2006,Netherlands F3,Clay,32,S
2010-3407,Blumenau CH,Clay,32,C
1991-773,Bucharest CH,Clay,32,C
2018-M-DC-2018-G2-AM-M-BOL-PER-01,Davis Cup G2 R1: BOL vs PER,Clay,4,D
2019-M-ITF-TUR-22A-2019,M15 Antalya,Clay,32,S
2017-M-FU-TUR-38B-2017,Turkey F38,Clay,32,S
1976-237,Sao Paulo WCT,Carpet,16,A
1999-M-SA-ARG-01A-1999d,Argentina 1 Masters 4,Clay,32,S
2003-M-FU-USA-13A-2003,USA F13 ,Hard,32,S
1993-D002,Davis Cup G2 PO: NGR vs ALG,Hard,4,D
2014-M-FU-KAZ-01A-2014,Kazakhstan F1,Hard,32,S
1992-313,Bristol CH,Grass,32,C
1992-409,Atlanta,Clay,32,A
1991-M-SA-FRA-03A-1991b,France 3 Masters 2,Carpet,32,S
2010-M-FU-AUS-13A-2010,Australia F13,Hard,32,S
1999-D048,Davis Cup WG R1: GBR vs USA,Hard,4,D
2006-M-FU-ECU-02A-2006,Ecuador F2,Hard,32,S
1980-315,Newport,Grass,32,A
